RegionName,Date,RegionName,HomeValue
Chicago,2000-01-01,Chicago,166139.0
Chicago,2000-02-01,Chicago,166536.0
Chicago,2000-03-01,Chicago,167368.0
Chicago,2000-04-01,Chicago,168826.0
Chicago,2000-05-01,Chicago,170499.0
Chicago,2000-06-01,Chicago,172008.0
Chicago,2000-07-01,Chicago,173598.0
Chicago,2000-08-01,Chicago,175282.0
Chicago,2000-09-01,Chicago,176928.0
Chicago,2000-10-01,Chicago,178634.0
Chicago,2000-11-01,Chicago,180479.0
Chicago,2000-12-01,Chicago,182259.0
Chicago,2001-01-01,Chicago,183890.0
Chicago,2001-02-01,Chicago,185143.0
Chicago,2001-03-01,Chicago,186789.0
Chicago,2001-04-01,Chicago,188315.0
Chicago,2001-05-01,Chicago,190058.0
Chicago,2001-06-01,Chicago,191482.0
Chicago,2001-07-01,Chicago,192933.0
Chicago,2001-08-01,Chicago,194629.0
Chicago,2001-09-01,Chicago,196416.0
Chicago,2001-10-01,Chicago,198340.0
Chicago,2001-11-01,Chicago,199864.0
Chicago,2001-12-01,Chicago,201093.0
Chicago,2002-01-01,Chicago,202395.0
Chicago,2002-02-01,Chicago,203787.0
Chicago,2002-03-01,Chicago,205605.0
Chicago,2002-04-01,Chicago,206834.0
Chicago,2002-05-01,Chicago,208166.0
Chicago,2002-06-01,Chicago,209016.0
Chicago,2002-07-01,Chicago,210483.0
Chicago,2002-08-01,Chicago,212197.0
Chicago,2002-09-01,Chicago,214267.0
Chicago,2002-10-01,Chicago,216097.0
Chicago,2002-11-01,Chicago,217313.0
Chicago,2002-12-01,Chicago,218765.0
Chicago,2003-01-01,Chicago,220251.0
Chicago,2003-02-01,Chicago,222107.0
Chicago,2003-03-01,Chicago,223677.0
Chicago,2003-04-01,Chicago,225389.0
Chicago,2003-05-01,Chicago,226589.0
Chicago,2003-06-01,Chicago,227809.0
Chicago,2003-07-01,Chicago,228865.0
Chicago,2003-08-01,Chicago,230510.0
Chicago,2003-09-01,Chicago,232266.0
Chicago,2003-10-01,Chicago,234303.0
Chicago,2003-11-01,Chicago,236039.0
Chicago,2003-12-01,Chicago,237862.0
Chicago,2004-01-01,Chicago,239890.0
Chicago,2004-02-01,Chicago,241705.0
Chicago,2004-03-01,Chicago,243394.0
Chicago,2004-04-01,Chicago,245263.0
Chicago,2004-05-01,Chicago,247620.0
Chicago,2004-06-01,Chicago,250097.0
Chicago,2004-07-01,Chicago,252322.0
Chicago,2004-08-01,Chicago,254471.0
Chicago,2004-09-01,Chicago,256412.0
Chicago,2004-10-01,Chicago,258534.0
Chicago,2004-11-01,Chicago,260845.0
Chicago,2004-12-01,Chicago,263400.0
Chicago,2005-01-01,Chicago,265804.0
Chicago,2005-02-01,Chicago,268095.0
Chicago,2005-03-01,Chicago,270328.0
Chicago,2005-04-01,Chicago,272724.0
Chicago,2005-05-01,Chicago,275375.0
Chicago,2005-06-01,Chicago,277971.0
Chicago,2005-07-01,Chicago,280398.0
Chicago,2005-08-01,Chicago,282666.0
Chicago,2005-09-01,Chicago,285374.0
Chicago,2005-10-01,Chicago,287769.0
Chicago,2005-11-01,Chicago,290269.0
Chicago,2005-12-01,Chicago,292733.0
Chicago,2006-01-01,Chicago,295356.0
Chicago,2006-02-01,Chicago,297863.0
Chicago,2006-03-01,Chicago,300221.0
Chicago,2006-04-01,Chicago,302191.0
Chicago,2006-05-01,Chicago,303829.0
Chicago,2006-07-01,Chicago,305267.0
Chicago,2006-08-01,Chicago,305664.0
Chicago,2006-09-01,Chicago,306024.0
Chicago,2006-10-01,Chicago,305927.0
Chicago,2006-11-01,Chicago,306047.0
Chicago,2006-12-01,Chicago,306517.0
Chicago,2007-01-01,Chicago,307639.0
Chicago,2007-02-01,Chicago,308738.0
Chicago,2007-03-01,Chicago,309375.0
Chicago,2007-04-01,Chicago,309240.0
Chicago,2007-05-01,Chicago,308595.0
Chicago,2007-06-01,Chicago,307925.0
Chicago,2007-07-01,Chicago,306992.0
Chicago,2007-08-01,Chicago,306281.0
Chicago,2007-09-01,Chicago,304921.0
Chicago,2007-10-01,Chicago,303890.0
Chicago,2007-11-01,Chicago,302715.0
Chicago,2007-12-01,Chicago,301135.0
Chicago,2008-01-01,Chicago,300207.0
Chicago,2008-02-01,Chicago,296063.0
Chicago,2008-05-01,Chicago,293467.0
Chicago,2008-06-01,Chicago,288495.0
Chicago,2008-07-01,Chicago,288174.0
Chicago,2008-08-01,Chicago,283199.0
Chicago,2008-09-01,Chicago,280695.0
Chicago,2008-10-01,Chicago,274849.0
Chicago,2008-11-01,Chicago,271059.0
Chicago,2008-12-01,Chicago,265306.0
Chicago,2009-01-01,Chicago,259446.0
Chicago,2009-02-01,Chicago,255220.0
Chicago,2009-03-01,Chicago,250583.0
Chicago,2009-04-01,Chicago,249347.0
Chicago,2009-05-01,Chicago,246137.0
Chicago,2009-06-01,Chicago,245064.0
Chicago,2009-07-01,Chicago,242981.0
Chicago,2009-08-01,Chicago,241506.0
Chicago,2009-09-01,Chicago,237514.0
Chicago,2009-10-01,Chicago,234232.0
Chicago,2009-11-01,Chicago,230695.0
Chicago,2009-12-01,Chicago,230395.0
